epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.47189,1.1903,3.60699,1.34475,0.75812,0.54485,0.61615,0.48027,0.95163,1.5756,1.34014,0.00011662,0.00011662,0.00011662
2,15.1943,1.16528,2.01705,1.37927,0.47451,0.86369,0.71775,0.4872,1.10095,2.50489,1.49165,0.000239178,0.000239178,0.000239178
3,23.0108,1.16179,1.79165,1.33405,0.85452,0.5344,0.63944,0.43173,1.16609,2.06374,1.69335,0.000359263,0.000359263,0.000359263
4,30.6424,1.11998,1.61029,1.31663,0.36676,0.59882,0.46201,0.3076,1.29929,3.20308,2.21977,0.000476873,0.000476873,0.000476873
5,38.2331,1.12665,1.43809,1.3691,0.5579,0.58413,0.54855,0.35507,1.38862,5.44088,2.27722,0.00059201,0.00059201,0.00059201
6,45.6545,1.27728,1.81748,1.50144,0.31993,0.7119,0.34717,0.21512,1.54212,inf,3.1546,0.000704672,0.000704672,0.000704672
7,53.3299,1.17129,1.60214,1.35608,0.42552,0.54762,0.46023,0.27674,1.52945,107.783,4.05591,0.00078352,0.00078352,0.00078352
8,60.5562,1.217,1.71899,1.47112,0.28459,0.51429,0.34557,0.25068,1.40945,48.8955,3.30479,0.000775273,0.000775273,0.000775273
9,68.0051,1.27837,1.82402,1.51545,0.54785,0.5433,0.52877,0.33375,1.58027,3.6251,3.28144,0.000767026,0.000767026,0.000767026
10,75.6238,1.17404,1.30671,1.40862,0.50191,0.60502,0.60732,0.36815,1.60804,2.68443,2.70035,0.00075878,0.00075878,0.00075878
11,83.4087,1.25055,1.28854,1.54273,0.54558,0.75476,0.70819,0.43988,1.53216,1.69872,2.64291,0.000750533,0.000750533,0.000750533
12,90.8619,1.32629,1.28164,1.5798,0.51449,0.72216,0.63206,0.4007,1.55203,1.58054,2.45064,0.000742286,0.000742286,0.000742286
13,98.4926,1.14836,1.24453,1.44168,0.51617,0.54841,0.54963,0.34644,1.75421,2.6131,2.53448,0.00073404,0.00073404,0.00073404
14,106.068,1.12351,1.13447,1.38535,0.62999,0.61255,0.6641,0.40204,1.62083,3.70379,2.2719,0.000725793,0.000725793,0.000725793
15,113.661,1.08531,1.08142,1.40343,0.63857,0.63913,0.71935,0.44098,1.60117,1.86391,2.2547,0.000717546,0.000717546,0.000717546
16,121.212,1.08613,1.15255,1.36506,0.88893,0.6069,0.69561,0.4795,1.27692,1.35636,1.94395,0.000709299,0.000709299,0.000709299
17,128.734,1.08437,1.03025,1.33857,0.7266,0.74461,0.81533,0.55766,1.30957,1.07096,2.07211,0.000701053,0.000701053,0.000701053
18,137.184,1.08331,1.00552,1.34194,0.74414,0.88915,0.84332,0.53933,1.31065,1.16483,1.91097,0.000692806,0.000692806,0.000692806
19,144.664,1.02793,0.85175,1.25943,0.82181,0.74854,0.91695,0.65007,1.0537,1.07345,1.63729,0.000684559,0.000684559,0.000684559
20,153.204,1.07042,0.84458,1.30164,0.71916,0.77485,0.82447,0.57045,1.08773,1.04472,1.62137,0.000676313,0.000676313,0.000676313
21,161.601,1.01987,0.82272,1.31713,0.85016,0.95197,0.9911,0.68109,1.12644,0.90506,1.67738,0.000668066,0.000668066,0.000668066
22,169.812,1.04161,0.83643,1.26954,0.8993,0.7785,0.89301,0.60361,1.20855,0.92077,1.76612,0.000659819,0.000659819,0.000659819
23,177.459,1.06328,0.85,1.35418,0.89192,0.82298,0.93302,0.65734,1.14845,0.87816,1.78172,0.000651573,0.000651573,0.000651573
24,185.166,1.03168,0.78408,1.29193,0.82011,0.84917,0.91282,0.64679,1.06146,1.04726,1.67789,0.000643326,0.000643326,0.000643326
25,192.577,1.0675,0.84462,1.36915,0.83517,0.78952,0.85985,0.63462,1.16349,0.88414,1.80039,0.000635079,0.000635079,0.000635079
26,199.773,0.94808,0.78795,1.22319,0.8212,0.95662,0.9619,0.66569,1.07803,1.09396,1.67419,0.000626832,0.000626832,0.000626832
27,207.344,0.96168,0.72424,1.28776,0.94503,0.87996,0.97584,0.64002,1.11084,1.08844,1.69639,0.000618586,0.000618586,0.000618586
28,215.07,0.94956,0.76585,1.21069,0.75146,0.86413,0.90863,0.67266,1.03486,0.99423,1.57532,0.000610339,0.000610339,0.000610339
29,222.845,0.95653,0.69091,1.25577,0.86344,0.89979,0.94606,0.70215,1.02074,0.87104,1.5616,0.000602092,0.000602092,0.000602092
30,230.847,0.96641,0.69253,1.22864,0.8685,0.94801,0.95577,0.65388,1.11764,0.82563,1.69167,0.000593846,0.000593846,0.000593846
31,238.835,0.97532,0.77381,1.21489,0.88757,0.93555,0.98036,0.70132,1.12981,0.76788,1.67929,0.000585599,0.000585599,0.000585599
32,247.247,0.96337,0.72426,1.21546,0.76347,0.95459,0.8793,0.66349,1.00833,0.82918,1.50482,0.000577352,0.000577352,0.000577352
33,254.826,0.89201,0.65522,1.22602,0.96633,0.86376,0.93236,0.69453,0.95496,0.87283,1.45171,0.000569106,0.000569106,0.000569106
34,262.154,0.9761,0.72862,1.27106,0.79868,0.78172,0.83516,0.61569,1.04648,0.95484,1.54251,0.000560859,0.000560859,0.000560859
35,269.863,0.93559,0.70258,1.25869,0.95745,0.85241,0.94766,0.70553,0.95516,0.88142,1.41261,0.000552612,0.000552612,0.000552612
36,278.142,0.91511,0.67038,1.19915,0.85322,0.7363,0.79795,0.55915,1.14799,1.07149,1.65652,0.000544365,0.000544365,0.000544365
37,285.993,0.96797,0.67587,1.25019,0.92484,0.90138,0.98083,0.71019,1.03069,0.65213,1.55934,0.000536119,0.000536119,0.000536119
38,293.922,0.90447,0.63255,1.1887,0.78917,0.86853,0.87941,0.66974,1.03498,0.62173,1.49771,0.000527872,0.000527872,0.000527872
39,301.693,0.89496,0.60695,1.18255,0.91741,0.90423,0.96607,0.71376,1.0404,0.69857,1.63974,0.000519625,0.000519625,0.000519625
40,310.18,0.89677,0.61958,1.25888,0.92901,0.91256,0.98321,0.72613,1.09069,0.66214,1.66442,0.000511379,0.000511379,0.000511379
41,318.357,0.94943,0.64079,1.23026,0.83108,0.89023,0.89753,0.64072,1.1485,0.86557,1.73528,0.000503132,0.000503132,0.000503132
42,325.536,0.90614,0.63764,1.24589,0.94397,0.81801,0.91046,0.72562,0.92285,0.70059,1.52495,0.000494885,0.000494885,0.000494885
43,332.734,0.89552,0.63321,1.22517,0.81839,0.88445,0.94768,0.67953,1.0353,0.79898,1.50794,0.000486639,0.000486639,0.000486639
44,339.789,0.87342,0.64986,1.24936,0.9717,0.89082,0.93278,0.69757,1.00961,0.62156,1.44772,0.000478392,0.000478392,0.000478392
45,347.139,0.85202,0.56975,1.14149,0.87301,0.94185,0.9831,0.71495,0.99733,0.72362,1.47314,0.000470145,0.000470145,0.000470145
46,354.432,0.92498,0.62663,1.25418,0.89838,0.91359,0.97378,0.71263,0.97502,0.74828,1.45882,0.000461898,0.000461898,0.000461898
47,362.003,0.93164,0.63196,1.21433,0.88641,0.92508,0.97733,0.7064,0.9354,0.65464,1.37897,0.000453652,0.000453652,0.000453652
48,369.542,0.87827,0.5991,1.20234,0.94907,0.98581,0.995,0.77277,0.88306,0.50759,1.44357,0.000445405,0.000445405,0.000445405
49,378.176,0.82198,0.56546,1.1507,0.93797,0.94904,0.98321,0.76522,0.90949,0.51095,1.42973,0.000437158,0.000437158,0.000437158
50,385.489,0.86801,0.6025,1.17282,0.9087,0.91094,0.95048,0.73734,0.92066,0.65072,1.47311,0.000428912,0.000428912,0.000428912
51,393.101,0.82566,0.54391,1.12617,0.95521,0.87353,0.94463,0.70685,1.02296,0.64676,1.57646,0.000420665,0.000420665,0.000420665
52,400.776,0.80377,0.49052,1.13735,0.95016,0.87494,0.93543,0.71111,1.02237,0.72187,1.60605,0.000412418,0.000412418,0.000412418
53,408.784,0.87661,0.5322,1.16117,0.97761,0.9741,0.995,0.75137,0.94455,0.48812,1.52539,0.000404172,0.000404172,0.000404172
54,416.485,0.81778,0.57539,1.18666,0.98286,0.9838,0.995,0.74983,0.94166,0.48499,1.49694,0.000395925,0.000395925,0.000395925
55,423.736,0.84033,0.52693,1.16849,0.99236,0.99664,0.995,0.78468,0.96893,0.48284,1.49568,0.000387678,0.000387678,0.000387678
56,432.414,0.79818,0.5036,1.14841,0.98034,0.99581,0.995,0.78579,0.97374,0.46658,1.52409,0.000379431,0.000379431,0.000379431
57,440.972,0.83478,0.53406,1.15263,0.97628,0.91764,0.97614,0.77143,0.88892,0.48911,1.4503,0.000371185,0.000371185,0.000371185
58,448.629,0.8413,0.50698,1.13313,0.97512,0.93252,0.96806,0.76537,0.86721,0.49255,1.42435,0.000362938,0.000362938,0.000362938
59,455.95,0.78558,0.50277,1.12076,0.9765,0.92332,0.97143,0.7601,0.87369,0.50155,1.4392,0.000354691,0.000354691,0.000354691
60,463.618,0.8104,0.48049,1.18617,0.97421,0.95231,0.98321,0.78872,0.88545,0.49635,1.45916,0.000346445,0.000346445,0.000346445
61,471.798,0.81006,0.48224,1.17042,0.97247,1,0.995,0.77983,0.96171,0.4545,1.54853,0.000338198,0.000338198,0.000338198
62,479.288,0.84586,0.51303,1.13155,0.96593,1,0.995,0.75545,0.96143,0.46446,1.52569,0.000329951,0.000329951,0.000329951
63,486.854,0.79319,0.49089,1.13304,0.96508,1,0.995,0.78552,0.91867,0.47123,1.45018,0.000321705,0.000321705,0.000321705
64,494.382,0.76063,0.48166,1.11788,0.974,0.95238,0.94954,0.73778,0.92588,0.47146,1.42737,0.000313458,0.000313458,0.000313458
65,501.912,0.77169,0.44221,1.12038,0.92577,0.99516,0.97143,0.75906,0.85887,0.42473,1.35749,0.000305211,0.000305211,0.000305211
66,509.909,0.72456,0.43039,1.06554,0.97665,0.97443,0.995,0.80378,0.81121,0.42673,1.36085,0.000296964,0.000296964,0.000296964
67,518.608,0.75305,0.4569,1.11216,0.98109,0.99702,0.995,0.80556,0.84161,0.42699,1.41491,0.000288718,0.000288718,0.000288718
68,526.76,0.76518,0.46165,1.12179,0.98149,0.99923,0.995,0.75938,0.89467,0.45856,1.43498,0.000280471,0.000280471,0.000280471
69,534.369,0.78511,0.45478,1.15908,0.97127,0.97684,0.995,0.77457,0.88303,0.4176,1.4245,0.000272224,0.000272224,0.000272224
70,541.957,0.74132,0.47275,1.13267,0.97354,0.97726,0.995,0.76997,0.87623,0.40663,1.41286,0.000263978,0.000263978,0.000263978
71,549.642,0.75083,0.44341,1.17675,0.97995,0.99234,0.995,0.77509,0.89066,0.41565,1.4234,0.000255731,0.000255731,0.000255731
72,557.54,0.67619,0.40849,1.08345,0.98325,0.99739,0.995,0.79785,0.85026,0.41304,1.37313,0.000247484,0.000247484,0.000247484
73,565.159,0.71788,0.44331,1.06313,0.98731,1,0.995,0.80824,0.86818,0.39166,1.4039,0.000239238,0.000239238,0.000239238
74,573.525,0.72416,0.44185,1.09534,0.98501,0.98817,0.995,0.80409,0.85981,0.40433,1.4296,0.000230991,0.000230991,0.000230991
75,580.895,0.66383,0.41368,1.07092,0.97554,0.989,0.995,0.80605,0.8604,0.38832,1.42605,0.000222744,0.000222744,0.000222744
76,588.434,0.7082,0.42444,1.08808,0.9799,0.96243,0.995,0.79608,0.8579,0.39957,1.42953,0.000214497,0.000214497,0.000214497
